content,rating,created_at,thank_count,label
thanhtoan xog mà hđ k thấy j hết 😑 👎,1,2025-07-28 00:39:29,6,pay
"bill k rõ ràng, chưa đủ wow luôn ảo ma ✨",5,2025-07-01 00:39:29,15,pay
</b>bill hiển thị ảo ma ghê 😂 hơi lú 😂</span>,4,2025-07-06 00:39:29,14,pay
"</b>quẹt thẻ mà báo lỗi, phèn vc ngầu lòi 😂<span> fnjskf",5,2025-07-13 00:39:29,22,pay
"<b>quẹt thẻ mà báo lỗi, phèn vc 😢</span>",2,2025-08-19 00:39:29,47,pay
đợi in hđ lâu vch 👎 😡,2,2025-07-04 00:39:29,13,pay
thanhtoan xog mà hđ k thấy j hết 😑 👎,3,2025-08-11 00:39:29,42,pay
"qr c0de ko scan đc, hơi lú fnjskf",4,2025-07-30 00:39:29,46,pay
ko th4y hoá đơn gửi về mail 😒 😡,4,2025-06-27 00:39:29,38,pay
</span>bill hiển thị ảo ma ghê 😂 👍<i>,1,2025-08-12 00:39:29,35,pay
bill hiển thị ảo ma ghê 😂 😢,2,2025-07-14 00:39:29,33,pay
"quẹt thẻ mà báo lỗi, phèn vc xịn xò 😤",1,2025-07-10 00:39:29,28,pay
<br>t4j kh0an trừ tiền 2 lần 😭 hết nấc 🔥<br>,2,2025-07-18 00:39:29,25,pay
"</i>qr c0de ko scan đc, hơi lú 💀<span>",3,2025-08-11 00:39:29,33,pay
"qr c0de ko scan đc, hơi lú căng đét",4,2025-07-15 00:39:29,8,pay
bill hiển thị ảo ma ghê 😂 😢 fnjskf,3,2025-07-25 00:39:29,39,pay
"</div>qr c0de ko scan đc, hơi lú</b>",1,2025-08-16 00:39:29,44,pay
"bill k rõ ràng, chưa đủ wow luôn ✨",5,2025-08-03 00:39:29,34,pay
th4nh t0án l0i fnjskf 😡 ngầu lòi fnjskf,4,2025-08-19 00:39:29,40,pay
đợi in hđ lâu vch 👎 phèn 😡,4,2025-07-08 00:39:29,14,pay
"quẹt thẻ mà báo lỗi, phèn vc chill 👎 fnjskf",3,2025-07-02 00:39:29,11,pay
ko th4y hoá đơn gửi về mail 😒 😢,2,2025-08-11 00:39:29,45,pay
"qr c0de ko scan đc, hơi lú 💔",5,2025-08-06 00:39:29,48,pay
<b>t4j kh0an trừ tiền 2 lần 😭 💀<div>,1,2025-08-16 00:39:29,18,pay
<b>thanhtoan xog mà hđ k thấy j hết 😑 phèn 😢<b>,3,2025-08-04 00:39:29,48,pay
t4j kh0an trừ tiền 2 lần 😭 hết nấc 🔥,3,2025-07-02 00:39:29,39,pay
thanhtoan xog mà hđ k thấy j hết 😑 hết nấc 😂,2,2025-07-10 00:39:29,32,pay
ko th4y hoá đơn gửi về mail 😒,4,2025-08-05 00:39:29,45,pay
ko th4y hoá đơn gửi về mail 😒 chill 👍 fnjskf,4,2025-08-26 00:39:29,23,pay
"<b>bill k rõ ràng, chưa đủ wow luôn 😢<span>",4,2025-08-09 00:39:29,45,pay
<i>ko th4y hoá đơn gửi về mail 😒 ảo ma</div>,5,2025-08-14 00:39:29,21,pay
<div>thanhtoan xog mà hđ k thấy j hết 😑 căng đét 🔥</b>,4,2025-07-26 00:39:29,20,pay
"bill k rõ ràng, chưa đủ wow luôn hết nấc",3,2025-07-08 00:39:29,29,pay
"quẹt thẻ mà báo lỗi, phèn vc phèn ✨ fnjskf",1,2025-08-09 00:39:29,11,pay
"quẹt thẻ mà báo lỗi, phèn vc hết nấc 👎",1,2025-08-03 00:39:29,0,pay
<i>bill hiển thị ảo ma ghê 😂</b>,5,2025-06-30 00:39:29,40,pay
"quẹt thẻ mà báo lỗi, phèn vc",3,2025-07-15 00:39:29,40,pay
bill hiển thị ảo ma ghê 😂 ngầu lòi 👍,1,2025-07-16 00:39:29,17,pay
ko th4y hoá đơn gửi về mail 😒,2,2025-07-02 00:39:29,30,pay
thanhtoan xog mà hđ k thấy j hết 😑 phèn 😤,1,2025-06-29 00:39:29,5,pay
"quẹt thẻ mà báo lỗi, phèn vc 😂",1,2025-06-29 00:39:29,36,pay
"qr c0de ko scan đc, hơi lú 👍",3,2025-07-01 00:39:29,49,pay
"<div>quẹt thẻ mà báo lỗi, phèn vc ngầu lòi 💀</b>",3,2025-08-14 00:39:29,25,pay
ko th4y hoá đơn gửi về mail 😒 hết nấc 😢,3,2025-07-07 00:39:29,31,pay
