content,rating,created_at,thank_count,label
ch4t lu0ng qua kem quá chán vl 😡 <div>,1,2025-05-23 05:20:50,11,neg
gi4 cao ma kh0ng dang ti3n toang kaka 👎 <i>,3,2024-09-24 05:20:50,11,neg
shop tra loi cham chưa đủ wow fnjskf 😂 <div>,3,2024-12-15 05:20:50,44,neg
gi4 cao ma kh0ng dang ti3n chưa đủ wow wtf 😭 <br>,2,2025-04-23 05:20:50,28,neg
dong goi so sai dở ẹc wtf 🙄 <p>,2,2025-01-12 05:20:50,11,neg
s4n ph4m nay rat te dở ẹc kaka 😂 <br>,3,2025-05-27 05:20:50,9,neg
dich vu kh0ng tot tạch vl 😂 <br>,3,2025-03-21 05:20:50,49,neg
ch4t lu0ng qua kem chưa đủ wow omg 😡 <b>,2,2024-11-26 05:20:50,44,neg
shop tra loi cham tạch vl 🤮 <br>,2,2024-11-30 05:20:50,6,neg
rat that vong xàm xí vl 🙄 <br>,3,2024-12-24 05:20:50,11,neg
s4n ph4m nay rat te quá chán huhu 😤 <br>,2,2025-06-10 05:20:50,2,neg
dong goi so sai tạch lmao 🤮 <br>,1,2025-07-23 05:20:50,11,neg
dong goi so sai toang zzz 😤 <i>,3,2025-05-19 05:20:50,19,neg
ch4t lu0ng qua kem xịn xò vl 👎 <div>,2,2024-09-25 05:20:50,16,neg
s4n ph4m nay rat te chưa đủ wow lmao 😡 <div>,2,2025-08-25 05:20:50,16,neg
gi4 cao ma kh0ng dang ti3n toang kaka 🤮 <div>,2,2025-05-24 05:20:50,8,neg
dong goi so sai quá chán fnjskf 😂 <p>,3,2025-02-23 05:20:50,9,neg
s4n ph4m nay rat te dở ẹc wtf 😂 <br>,3,2025-08-06 05:20:50,15,neg
gi4 cao ma kh0ng dang ti3n toang omg 🙄 <p>,3,2025-08-05 05:20:50,8,neg
dich vu kh0ng tot xịn xò kaka 🙄 <br>,3,2025-02-08 05:20:50,3,neg
rat that vong chưa đủ wow omg 👎 <div>,2,2024-09-04 05:20:50,9,neg
