MaDonHang,MaKhachHang,TenNguoiNhan,SoDienThoai,DiaChiGiaoHang,TenSanPham,NgayDatHang,NgayGiaoDuKien,NgayGiaoThucTe,TrangThaiDonHang,PhiVanChuyen,PhuongThucThanhToan,GhiChu
HD583921,KH58201,Lê Minh Tuấn,0987654321,123 Đường ABC, Phường 1, Quận 1, TP. HCM,Sách giáo khoa,2025-08-15,2025-08-18,2025-08-18,Đã giao thành công,30000,COD,Giao hàng cẩn thận.
HD927402,KH93751,Trần Thị Bích,0912345678," 456 Đường XYZ, Phường 2, q2, TPHCM",Tai nghe Bluetooth,2025-08-14,2025-08-17,2025-08-16,Hoàn thành,25000,Thẻ tín dụng,
HD103847,KH10384,Nguyễn Văn Nam,+84901234567,789 Đường LMN, Phường 3, Quận 3, Thành phố Hồ Chí Minh,Bàn phím cơ,2025-08-13,2025-08-16,2025-08-17,Đang giao hàng,35000,Chuyển khoản,Gọi trước khi giao
HD602847,KH60284,Phạm Thị Lan,901234567,101 Đường OPQ, Phường 4, quan 4, TP. HCM,Chuột máy tính,2025-08-12,2025-08-15,,Hủy,-50000,cod,Khách hàng báo hủy
HD382047,KH38204,Hoàng Văn Long,090 123 4567,212 Đường RST, Phường 5, Quận 5, TPHCM,Màn hình máy tính,2025-08-11,2025-08-14,14/08/2025,da giao,999000,Credit Card,
HD938104,KH93810,Vũ Thị Hà,0987123456,323 Đường UVW, Phường 6, Quận 6, TP.HCM,Loa vi tính,10-08-25,2025-08-13,2025-08-13,Đang giao,28000,Tiền mặt,
HD482037,KH48203,,0918765432,434 Đường XYZ, Phường 7, Quận 7, TP. HCM,USB,2025-08-09,2025-08-12,2025-08-11,Đã giao thành công,20000,COD,
HD830281,KH83028,Đặng Văn An,abcdef,545 Đường ABC, Phường 8, Quận 8, Thành phố Hồ Chí Minh,"Sách, Bút",August 08, 2025,2025-08-11,2025-08-10,Hoàn thành,32000,Thẻ tín dụng,Sản phẩm bị lỗi
HD938104,KH93810,Vũ Thị Hà,0987123456,323 Đường UVW, Phường 6, Quận 6, TP.HCM,Loa vi tính,10-08-25,2025-08-13,2025-08-13,Đang giao,28000,Tiền mặt,
HD294810,KH29481,Trịnh Thị Mai,0976543210,656 Đường LMN, Phường 9, Quận 9, TP. HCM,Áo thun,2025-08-07,2025-08-10,09/08/2025,Dang giao,0,cod,
HD192837,KH19283,Ngô Văn Bảo,0909123456,767 Đường OPQ, Phường 10, quan 10, TPHCM,Quần jean,2025-08-06,2025-08-09,2025-08-09,da giao,26000,Chuyển khoản,
HD502831,KH50283,Lý Thị Thu,0988765432,"878 Đường RST, Phường 11, Quận 11, TP. HCM ",Giày thể thao,2025-08-05,2025-08-08,,Hủy,30000,Thẻ tín dụng,Không liên lạc được
HD749201,KH74920,Bùi Văn Cường,,989 Đường UVW, Phường 12, Quận 12, Thành phố Hồ Chí Minh,Mũ lưỡi trai,2025-08-04,2025-08-07,2025-08-06,Đã giao thành công,22000,COD,
HD391038,KH39103,Đỗ Thị Kim Anh,0911223344,111 Đường Nguyễn Trãi, P. Bến Thành, q1, TP. HCM,Túi xách,2025-08-03,2025-08-06,2025-08-05,Hoàn thành,35000,Credit Card,Hàng dễ vỡ
HD683921,KH68392,Hồ Văn Hải,0922334455,222 Đường Lê Lợi, Phường 2, Quận 3, TPHCM,Đồng hồ,2025-08-02,2025-08-05,04/08/2025,Đang giao hàng,29000,Tiền mặt,
HD948201,KH94820,Nguyễn Thị Hương Giang,0933445566,333 Đường Trần Hưng Đạo, P. Cầu Ông Lãnh, Quận 1, TP. HCM,Nước hoa,01-08-25,2025-08-04,,Da huy,31000,cod,
HD203948,KH20394,Trần Văn Mạnh,0944556677,444 Đường Võ Văn Tần, Phường 6, Quận 3, Thành phố Hồ Chí Minh,Son môi,2025-07-31,2025-08-03,2025-08-02,Đã giao thành công,27000,Chuyển khoản,
HD582019,KH58201,Lê Minh Anh,0955667788,555 Đường Hai Bà Trưng, P. Tân Định, quan 1, TP. HCM,Kính râm,2025-07-30,2025-08-02,2025-08-01,Hoàn thành,25000,COD,
HD382047,KH38204,Hoàng Văn Long,090 123 4567,212 Đường RST, Phường 5, Quận 5, TPHCM,Màn hình máy tính,2025-08-11,2025-08-14,14/08/2025,da giao,35000,Credit Card,
HD839201,KH83920,Phan Thị Thu Thủy,0966778899,666 Đường Pasteur, Phường 8, Quận 3, TPHCM,Balo,2025-07-29,2025-08-01,,Đang giao,30000,Thẻ tín dụng,
HD192837,KH19283,Nguyễn Hoàng Phúc,0909123456,"767 Đường OPQ, Phường 10, quan 10, TPHCM",Quần jean,2025-08-06,2025-08-09,2025-08-09,da giao,26000,Chuyển khoản,
HD749201,KH74920,Bùi Văn Cường,,989 Đường UVW, Phường 12, Quận 12, Thành phố Hồ Chí Minh,Mũ lưỡi trai,2025-08-04,2025-08-07,2025-08-06,Đã giao thành công,22000,COD,
HD402837,KH40283,Võ Minh Khang,12345,777 Đường Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, TP. HCM,Ví da,2025-07-28,2025-07-31,30/07/2025,Đã giao thành công,28000,Tiền mặt,
