content,rating,created_at,thank_count
đợi mỏi măt mà chưa thấy j cả 😡 fnjskf,5,2025-08-05 00:17:54,21
đợi mỏi măt mà chưa thấy j cả 😡 xịn xò,5,2025-08-04 00:17:54,23
"</div>giao lẹ lẹ chứ v, chờ phèn quá ngầu lòi</div>",2,2025-08-07 00:17:54,15
đợi dài cả cổ mà chx thâý j hết 😑 căng đét 😂,3,2025-07-12 00:17:54,12
<div>giao h4ng chậm vcl 😤 hơi lú 😡<span> fnjskf,2,2025-08-17 00:17:54,47
t4j kh0an ko báo trc lun ảo ma 💔,2,2025-07-18 00:17:54,28
"dịch vụ vch, chậm như rùa 🐢 😢",3,2025-07-20 00:17:54,12
"dịch vụ vch, chậm như rùa 🐢",3,2025-08-07 00:17:54,26
"<span>dịch vụ vch, chậm như rùa 🐢 😂<br>",5,2025-06-29 00:17:54,14
"ko ổn áp, gjo mới tới 😭 😂",4,2025-08-12 00:17:54,18
t4j kh0an ko báo trc lun ảo ma 😢,5,2025-08-06 00:17:54,49
"dịch vụ vch, chậm như rùa 🐢 fnjskf",2,2025-06-30 00:17:54,43
t4j kh0an ko báo trc lun xịn xò 😢,2,2025-07-05 00:17:54,47
"</span>dịch vụ vch, chậm như rùa 🐢 ✨</span>",2,2025-07-05 00:17:54,18
</b>fnjskf hàng tới lâu wá 👎 😂<div>,5,2025-07-18 00:17:54,16
t4j kh0an ko báo trc lun chill 😡,1,2025-07-12 00:17:54,23
<b>giao h4ng chậm vcl 😤</div> fnjskf,4,2025-07-14 00:17:54,30
"giao lẹ lẹ chứ v, chờ phèn quá",4,2025-08-26 00:17:54,43
"tới muộn hẳn 3 ng4y, k vui nha 😒 phèn ✨",2,2025-07-02 00:17:54,22
"giao lẹ lẹ chứ v, chờ phèn quá 👎",2,2025-07-15 00:17:54,8
fnjskf hàng tới lâu wá 👎 xịn xò,2,2025-08-11 00:17:54,10
<span>đợi dài cả cổ mà chx thâý j hết 😑 hơi lú 💔</b>,1,2025-07-17 00:17:54,43
đợi mỏi măt mà chưa thấy j cả 😡 😂,4,2025-06-28 00:17:54,32
"giao lẹ lẹ chứ v, chờ phèn quá ảo ma 🔥",5,2025-07-09 00:17:54,1
fnjskf hàng tới lâu wá 👎 😡,3,2025-07-02 00:17:54,11
đợi dài cả cổ mà chx thâý j hết 😑 💔,3,2025-07-28 00:17:54,42
giao h4ng chậm vcl 😤 ngầu lòi,1,2025-08-20 00:17:54,4
"ko ổn áp, gjo mới tới 😭 hết nấc ✨",3,2025-08-05 00:17:54,33
fnjskf hàng tới lâu wá 👎 fnjskf,4,2025-07-03 00:17:54,16
fnjskf hàng tới lâu wá 👎 căng đét,3,2025-08-25 00:17:54,12
</b>đợi dài cả cổ mà chx thâý j hết 😑 🔥<div>,4,2025-08-22 00:17:54,31
"giao lẹ lẹ chứ v, chờ phèn quá 💀 fnjskf",4,2025-07-28 00:17:54,43
"shipper tớj trễ qá, chưa đủ wow luôn ✨",2,2025-08-25 00:17:54,21
