content,rating,created_at,thank_count
thanhtoan xog mà hđ k thấy j hết 😑 👎,1,2025-07-28 00:39:29,6
"bill k rõ ràng, chưa đủ wow luôn ảo ma ✨",5,2025-07-01 00:39:29,15
</b>bill hiển thị ảo ma ghê 😂 hơi lú 😂</span>,4,2025-07-06 00:39:29,14
"</b>quẹt thẻ mà báo lỗi, phèn vc ngầu lòi 😂<span> fnjskf",5,2025-07-13 00:39:29,22
"<b>quẹt thẻ mà báo lỗi, phèn vc 😢</span>",2,2025-08-19 00:39:29,47
đợi in hđ lâu vch 👎 😡,2,2025-07-04 00:39:29,13
thanhtoan xog mà hđ k thấy j hết 😑 👎,3,2025-08-11 00:39:29,42
"qr c0de ko scan đc, hơi lú fnjskf",4,2025-07-30 00:39:29,46
ko th4y hoá đơn gửi về mail 😒 😡,4,2025-06-27 00:39:29,38
</span>bill hiển thị ảo ma ghê 😂 👍<i>,1,2025-08-12 00:39:29,35
bill hiển thị ảo ma ghê 😂 😢,2,2025-07-14 00:39:29,33
"quẹt thẻ mà báo lỗi, phèn vc xịn xò 😤",1,2025-07-10 00:39:29,28
<br>t4j kh0an trừ tiền 2 lần 😭 hết nấc 🔥<br>,2,2025-07-18 00:39:29,25
"</i>qr c0de ko scan đc, hơi lú 💀<span>",3,2025-08-11 00:39:29,33
"qr c0de ko scan đc, hơi lú căng đét",4,2025-07-15 00:39:29,8
bill hiển thị ảo ma ghê 😂 😢 fnjskf,3,2025-07-25 00:39:29,39
"</div>qr c0de ko scan đc, hơi lú</b>",1,2025-08-16 00:39:29,44
"bill k rõ ràng, chưa đủ wow luôn ✨",5,2025-08-03 00:39:29,34
th4nh t0án l0i fnjskf 😡 ngầu lòi fnjskf,4,2025-08-19 00:39:29,40
đợi in hđ lâu vch 👎 phèn 😡,4,2025-07-08 00:39:29,14
"quẹt thẻ mà báo lỗi, phèn vc chill 👎 fnjskf",3,2025-07-02 00:39:29,11
ko th4y hoá đơn gửi về mail 😒 😢,2,2025-08-11 00:39:29,45
"qr c0de ko scan đc, hơi lú 💔",5,2025-08-06 00:39:29,48
